city,country,lat,lng,population,abstract
Erfurt,Germany,50.9833,11.0333,213835.0,Erfurt is the capital of the German state of Thuringia (Thüringen). The city is the largest one in that province and likewise a major transportation hub.
Erzincan,Turkey,39.7464,39.4914,157452.0,"Erzincan is a city in Eastern Anatolia. It's modern, on a grid pattern, as its predecessor was destroyed by an earthquake in 1939."
Erzurum,Turkey,39.9086,41.2769,767848.0,"Erzurum is a city in Eastern Anatolia, and is the hub for visiting eastern Turkey."
Gaziantep,Turkey,37.0628,37.3792,2028563.0,"Gaziantep is a city in Southeastern Anatolia. Although it is a major city in Turkey (counting almost 2 million inhabitants) and known as the Turkish capital of gastronomy, it counts very few international tourists."
Geneva,Switzerland,46.2017,6.1469,201818.0,thumb|200px|right|The old town of Geneva in the winter
Hamburg,Germany,53.55,10.0,2484800.0,"The Free and Hanseatic City of Hamburg (Freie und Hansestadt Hamburg) is Germany's second-largest city and, at the same time, one of Germany's 16 federal states or Bundesländer. Prior to the formation of the modern German state, Hamburg for centuries enjoyed a status as de facto independent city state and regional power and trade hub in the North Sea."
Helsinki,Finland,60.1708,24.9375,1268296.0,Helsinki (Helsingfors in Swedish) is Finland's capital and largest city. Helsinki combines modern and historic architectural styles with beautiful open spaces.
Innsbruck,Austria,47.2683,11.3933,132493.0,"Innsbruck is the fifth-largest city in Austria and the provincial capital of Tyrol, as well as one of the largest cities in the Alps. It is in a valley of the river Inn between mountain ranges of above 2000 m above sea level, halfway between Bavaria and northern Italy, and is a hub of a region popular for skiing and other mountain-related activities and a busy tourist destination."
Ioannina,Greece,39.6636,20.8522,113094.0,"Ioannina (Ιωάννινα) (population: 112,486 (2011)) is a beautiful city in Northern Greece whose old town is surrounded by tall defensive walls."
Isparta,Turkey,37.7647,30.5567,258375.0,"Isparta (Greek: Σπάρτη, Baris) is a city of 220,000 inhabitants in the Lakes District of Mediterranean Turkey."
Istanbul,Turkey,41.0136,28.955,16079000.0,"Istanbul (Turkish: İstanbul) is a very large city of fantastic history, culture and beauty. Called Byzantium in ancient times, the city's name was changed to Constantinople in 324 CE when it was rebuilt by the first Christian Roman Emperor, Constantine."
Ivano-Frankivsk,Ukraine,48.9228,24.7106,238196.0,"Ivano-Frankivsk (Ukrainian: Івано-Франківськ, also transliterated Ivano-Frankovsk from Russian: Ивано-Франковск) (formerly in Polish: Stanisławów, German: Stanislau) is a city in the Ukrainian part of East Galicia."
Izmir,Turkey,38.42,27.14,4320519.0,"thumb|270px|Clock tower in Konak Square, iconic symbol of the city"
Kahramanmaras,Turkey,37.5833,36.9333,443575.0,"Kahramanmaraş, which used to be known as Maraş, is a city in Turkey, located on the crossroad of southern, eastern and southeastern Turkey."
Kaliningrad,Russia,54.7003,20.4531,475056.0,"Kaliningrad (Russian: Калинингра́д kuh-leen-een-GRAHD) , also known by its original German name, Königsberg, is the capital city of Kaliningrad Oblast in Russia. It has about 475,000 inhabitants (2018)."
Kars,Turkey,40.6078,43.0958,115891.0,"Kars is a city in Eastern Anatolia. It is most frequently visited as a jumping off point for travelers going to Ani, but it is a viable destination in its own right for its 19th-century Russian imperial buildings, and, of course, its role as the setting for Orhan Pamuk's famous novel Snow."
Kaunas,Lithuania,54.8972,23.8861,381007.0,"Kaunas is the second-largest city in Lithuania, with a population of some 288,000 people. The main reason to visit is its charming Old Town, connected to the 19th century New Town ranged along Laisvės alėja."
Kayseri,Turkey,38.7225,35.4875,1389680.0,"Kayseri is a city in Central Anatolia, 350 km southeast of Ankara. In 2021 the population was 1."
Kazan,Russia,55.7964,49.1089,1243500.0,Kazan (Russian: Каза́нь kuh-ZAHN)  is the capital of Russia's republic of Tatarstan and the center of the world Tatar culture.
Kharkiv,Ukraine,49.9925,36.2311,1446107.0,"Kharkiv (Ukrainian: Харків, also transliterated Kharkov from Russian: Харьков) is a major city in the Kharkiv region of Ukraine and is the second largest city in Ukraine with a population of over 1.5 million inhabitants."
Kiel,Germany,54.3233,10.1394,246601.0,"Kiel is the capital city of the German state of Schleswig-Holstein and has a population of roughly 248,000 (2018). It is located on the Baltic Sea at the end of the ""Kieler Förde""."
Kirov,Russia,58.6,49.65,501468.0,"Kirov (Russian: Ки́ров KEE-ruhf) is the capital city of Kirov Oblast, Russia."
Klagenfurt,Austria,46.6167,14.3,101403.0,Klagenfurt (Slovenian: Celovec) is the capital of Carinthia in Austria. It was one of the eight host cities in the 2008 European Football Championships.
Konya,Turkey,37.8667,32.4833,2232374.0,"Konya is a city in Central Anatolia in Turkey, known as the city of ""whirling dervishes"" and for its outstanding Seljuk architecture. In 2021 Konya metropolis had a population of 2,277,017, the sixth largest in Turkey, but the area of most interest is compact."
Krasnodar,Russia,45.0333,38.9667,948827.0,"Krasnodar is the capital of Krasnodar Krai in southern Russia, with a popolulation in 2018 of just under 900,000. Its main industries are based on agriculture and food."
Kutaisi,Georgia,42.25,42.7,147900.0,"Kutaisi is a city in the Rioni Region of Georgia. The city itself is very cinematographic and charming, and a visit to Kutaisi is almost mandatory to see the Bagrati Cathedral and Gelati Monastery, which are UNESCO World Heritage sites and offer views from the mountain slopes over the city and the Rioni River."
Lille,France,50.6278,3.0583,234475.0,"Lille (Dutch: Rijsel) is the capital of the Hauts-de-France region in northern France and the core of one of the largest metropolitan agglomerations in the country. Historically, it has also been the capital of Flanders, and later an industrial powerhouse, thanks to which it now boasts a large and handsome historic centre."
Ljubljana,Slovenia,46.0514,14.5061,286745.0,"Ljubljana (""lee-oo-blee-AH-nuh"") is the small but delightful capital of Slovenia. While the city's population had grown to 295,500 in 2020, the sights and amenities are concentrated in the charming old centre."
London,United Kingdom,51.5072,-0.1275,11262000.0,"Noisy, vibrant and truly multicultural,  London is a megalopolis of people, ideas and frenetic energy. The capital and largest city of the United Kingdom sits on the River Thames in South-East England, Greater London has a population of a little over 9 million."
Luxembourg,Luxembourg,49.6117,6.1319,132780.0,"The Grand Duchy of Luxembourg (Luxembourgish: Groussherzogtum Lëtzebuerg, French: Grand-Duché de Luxembourg, German: Großherzogtum Luxemburg), is a landlocked Benelux country at the crossroads of Germanic and Latin cultures."
Lviv,Ukraine,49.8425,24.0322,724314.0,"Lviv (also spelled L'viv; Ukrainian: Львів; Polish: Lwów, German: Lemberg, Russian: Львов), formerly known as Lvov after its Russian name, is in Western Ukraine and used to be the capital of East Galicia. It's the biggest city of the region and a major Ukrainian cultural centre on the UNESCO World Heritage List."
Lyon,France,45.76,4.84,522969.0,"Lyon is the capital of the French administrative region of Auvergne-Rhône-Alpes. A city of half a million, Lyon alone is the country's third-largest city, but its metropolitan area is only second in population to Paris."
Maastricht,Netherlands,50.85,5.6833,277721.0,"By many considered to be the most beautiful city of the country, Maastricht is the southernmost city in the Netherlands. It's the capital of the province of Limburg and famous for what the Dutch call the ""Burgundian"" way of life."
Madrid,Spain,40.4169,-3.7033,6211000.0,"Madrid is Spain's capital and largest city. A city that has been marked by Spain's varied and tumultuous history, Madrid has some of Europe's most impressive cultural and architectural heritage, which includes grand avenues, plazas, buildings and monuments, world-class art galleries and museums, highly popular football teams, and cultural events of international fame for everyone."
Magdeburg,Germany,52.1317,11.6392,236188.0,"Magdeburg is the capital city of the Bundesland of Saxony-Anhalt, Germany, with a population of 240,000 (2018). Magdeburg has become a modern city with numerous interesting sights of high importance and uniqueness, as well as many parks, which make Magdeburg the third greenest city in Germany."
Malatya,Turkey,38.3486,38.3194,426381.0,thumb|350px|New Mosque at the central square
Milan,Italy,45.4669,9.19,1366180.0,"Milan (Italian: Milano; Milanese: Milan) is financially the most important city in Italy, and home to the Borsa Italiana stock exchange. It is the second most populous city proper in the country, but sits at the centre of Italy's largest urban and metropolitan area."
Minsk,Belarus,53.9,27.5667,2009786.0,"Minsk (Belarusian: Мінск, Russian: Минск) is the capital and largest city of the Republic of Belarus. Its population is about two million people in 2021."
Miskolc,Hungary,48.0833,20.6667,150695.0,"Miskolc, with population of about 157,000 (2017), is the third largest city in Hungary, located in the north-east of the country, east of Bükk mountains."
Moscow,Russia,55.7558,37.6178,17332000.0,"Since its founding in 1147, Moscow (Russian: Москва, Moskva) has been at the crossroads of history as the capital of empires and a frequent target for invaders. As the capital of the Russian Empire, the Soviet Union, and, today, the Russian Federation, it has played a central role in the development of the largest country in the world."
Munich,Germany,48.1375,11.575,2606021.0,"Munich (German: München, Bavarian: Minga) is the capital of the federal state of Bavaria in the south of Germany. Within the city limits, Munich in 2021 had a population of just under 1."
Murcia,Spain,37.9861,-1.1303,672773.0,You could be looking for:
Murmansk,Russia,68.9706,33.075,298096.0,"Murmansk (Russian: Му́рманск) is a city in the extreme northwest of Russia and the world's largest city north of the Arctic Circle. It lies in the Kola Bay on the Kola Peninsula, by the Barents Sea."
Mykolaiv,Ukraine,46.975,31.995,498748.0,"Mykolaiv (Ukrainian: Миколаїв, also transliterated Nikolaev or Nikolayev from Russian: Николаев) is a city in Southern Ukraine. It is an important shipbuilding centre and transportation hub for Ukraine, and has a large military presence."
Nalchik,Russia,43.4833,43.6167,265162.0,"Nalchik is the capital city of Kabardino-Balkaria, a republic located in the very south of the Russian Federation."
Nantes,France,47.2181,-1.5528,318808.0,"Nantes (Breton: Naoned) is the capital of Pays de la Loire region in northwest France. Historically it was part of Brittany, whose dukes built up its castle and made the town their capital."
Naples,Italy,40.8333,14.25,966144.0,"Naples (Italian: Napoli; Neapolitan: Napule) in Italy, an ancient port on the Mediterranean sea. With just short of a million citizens, is the third most populous municipality."
Nevsehir,Turkey,38.6264,34.7139,153117.0,"Nevşehir is one of the major cities in Cappadoccia Region, which displays a beautiful combination of nature and history. The traditional main sources of income of the city, carpet weaving and viticulture, have been overtaken by tourism, because of its proximity to the underground shelters, the fairy chimneys, monasteries, caravanserais and the famous rock-hewn churches of Göreme."
Nicosia,Cyprus,35.1725,33.365,330000.0,Nicosia (Greek: Λευκωσία; Turkish: Lefkoşa) is the capital of Cyprus and is the largest city by far.
Novi Sad,Serbia,45.2542,19.8425,380000.0,thumb|right|350px|Freedom square (Trg Slobode)
Oradea,Romania,47.0722,21.9211,196367.0,"Oradea is one the few undiscovered gems of Romania's tourism. Despite being one of the largest and most important cities in Transylvania, and having a high degree of administrative, economic and commercial importance, it is often overlooked by tourists in favor of other Transylvanian cities such as Brasov, Sibiu, Sighisoara or Cluj-Napoca."
Orenburg,Russia,51.7667,55.1,564773.0,"Orenburg (Russian: Оренб'ург, Uh-rehn-BOORK) is the capital of Orenburg Oblast. Every citizen will point you the sign at the bridge across the Ural river, supposedly landmarking the geographical border between Europe and Asia (the actual boundary is further east)."
Pamplona,Spain,42.8167,-1.65,203418.0,"Pamplona (Basque: Iruña) is a city in Navarra, Spain. It is most famous world-wide for its San Fermín festival, held each year from July 6-14."
Paris,France,48.8567,2.3522,11060000.0,thumb|300px|The Eiffel Tower and the river Seine
Penza,Russia,53.2,45.0,523726.0,There's more than one place called Penza:
Perm,Russia,58.0139,56.2489,1048005.0,"Perm (Russian: Пермь p`yehr`m`) is a city in Perm Krai, Russia."
Perugia,Italy,43.1122,12.3889,165683.0,"Perugia is a city in the Italian region of Umbria. It has an important university that attracts many foreign students, is a major center of medieval art, has a stunningly beautiful central area and is home of the Umbria Jazz Festival."
Petrozavodsk,Russia,61.7833,34.35,278551.0,thumb|350 px|Old and New Petrozavodsk
Plovdiv,Bulgaria,42.15,24.75,383540.0,thumb|Old Plovdiv
Podgorica,Montenegro,42.4413,19.2629,150977.0,"Podgorica (Montenegrin: Подгорица) is the capital of Montenegro. While not a typical European eye candy, the city is definitely worth visiting, owing to its interesting mix of old and new, its café culture and nightlife, and its laid back Mediterranean atmosphere."
Porto,Portugal,41.1621,-8.622,1278210.0,"Porto is Portugal's second largest city and the capital of the Northern region, and a busy industrial and commercial centre. The city isn't very populous (about 238,000 inhabitants in 2024), but the Porto metropolitan area has some 1."
Prague,Czechia,50.0875,14.4214,1335084.0,"Prague (Czech: Praha) is the capital and largest city of the Czech Republic. The city's historic buildings and narrow, winding streets are testament to its centuries-old role as capital of the historic region of Bohemia."
Pristina,Kosovo,42.6633,21.1622,161751.0,"Pristina (Albanian: Prishtinë, Serbian: Priština), the capital city of Kosovo, is not beautiful: it is messy, with centuries-old Ottoman heritage competing with communist designs and post-communist architectural monstrosities. However, there is a powerful draw to this city of 162,000 people (2011), offering much to passing visitors."
Pskov,Russia,57.8167,28.3333,209840.0,"Pskov is the largest city and administrative capital of Pskov Oblast. One of the oldest cities in the country, it has preserved many unique architectural monuments of the 12th-16th centuries."
Rennes,France,48.1147,-1.6794,220488.0,"Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings, and survivors of earlier times."
Riga,Latvia,56.9489,24.1064,920643.0,"Riga is the financial, creative, and cultural centre of Latvia. It is the capital and the largest city in Latvia, it is also the largest city in the Baltic States."
Rijeka,Croatia,45.3272,14.4411,191293.0,"Rijeka (literally ""River"" in Croatian language) is a city in Kvarner Bay, a northern inlet of the Adriatic Sea in Croatia. It is the principal seaport of the country."
Rivne,Ukraine,50.6192,26.2519,246574.0,"Rivne (Ukrainian: Рівне, also transliterated Rovno from Russian: Ровно) (Polish: Równe) is a city in Western Ukraine."
Rome,Italy,41.8931,12.4828,2872800.0,"Rome (Italian and Latin: Roma), the 'Eternal City', is the capital and largest city of Italy and of the Lazio region. It's the famed city of the Roman Empire, the Seven Hills, La Dolce Vita, the Vatican City and Three Coins in the Fountain."
Rouen,France,49.4428,1.0886,112321.0,"Rouen is the capital of the French region of Upper Normandy on the River Seine, 135 km (approximately 90 minutes drive) northwest from the centre of Paris. The city has a population of 110,000 and its metropolitan area includes some 666,000 inhabitants (2017)."
Saint Petersburg,Russia,59.95,30.3167,5384342.0,"Saint Petersburg (Russian: Са́нкт-Петербу́рг Sankt-Peterburg), known as Petrograd (Петроград) in 1914-1924 and Leningrad (Ленинград) in 1924-1991, is the second largest city of Russia, with 5.6 million inhabitants (2021), and the former capital of the Russian Empire."
Salzburg,Austria,47.8,13.045,155021.0,"Salzburg is a city in Austria, near the border with Germany's Bavaria state, with a population of 157,000 (2020). It was the setting for the 1965 movie The Sound of Music, so you may think you know all there is to see in Salzburg if you have seen the movie."
Samara,Russia,53.2028,50.1408,1169719.0,thumb|300px|Iversky Convent
Samsun,Turkey,41.2903,36.3336,1335716.0,"Samsun, in the Central Karadeniz region of Turkey, is the largest city on the Turkish Black Sea coast."
Santander,Spain,43.4628,-3.805,172221.0,"Santander is the capital and largest city of the province of Cantabria in Spain. It's on the north coast, with many beaches, ferries from Britain, and a small historic centre."
Sarajevo,Bosnia and Herzegovina,43.8564,18.4131,419957.0,"Sarajevo is the capital of Bosnia and Herzegovina, and its largest city, with 420,000 citizens in its urban area (2013). Sarajevo metropolitan area that has a population of 555,000 also includes some neighbourhoods of ""East Sarajevo"" that are a part of Republika Srpska."
Saratov,Russia,51.5333,46.0167,845300.0,Saratov (Russian: Сара́тов suh-RAH-tuhf) is a city in the Volga region of Russia.
Satu Mare,Romania,47.79,22.89,102411.0,"Satu Mare is a city in the Maramureș region of Romania. As of 2021, it had a population of 91,520."
Sibiu,Romania,45.7928,24.1519,147245.0,"Sibiu is a town in southern Transylvania, Romania, 280 km by road from Bucharest. The old town centre is very attractive."
Siirt,Turkey,37.925,41.9458,166332.0,Siirt is a city in Southeastern Anatolia.
Simferopol,Ukraine,44.9484,34.1,341799.0,"Simferopol (Russian: Симферополь, Ukrainian: Сімферополь) is the capital city of the Crimea."
Sivas,Turkey,39.75,37.0167,377561.0,"Sivas is a city in Central Anatolia, with a population in 2020 of 335,570. By road it's 450 km east of Ankara, and stands at 1278 m elevation."
Skopje,Macedonia,41.9961,21.4317,640000.0,"Skopje (Macedonian: Скопје, Albanian: Shkup, Turkish: Üsküp) is the capital and largest city of the Republic of North Macedonia. Skopje is city of many cultures and many centuries."
Sofia,Bulgaria,42.7,23.33,1547779.0,Sofia (София) is the capital of Bulgaria. It is also the biggest city in the country with about 2 million citizens (including suburbs).
Stavanger,Norway,58.97,5.7314,237369.0,"Stavanger is Norway's fourth largest city, at 145,000 citizens (2021). It is the largest city in, and the administrative centre of, Rogaland county in West Norway."
Stavropol,Russia,45.05,41.9833,450680.0,Stravropol (Ставрополь) is a city in Russia.
Stockholm,Sweden,59.3294,18.0686,1611776.0,"Stockholm is Sweden's capital and largest city, with nearly a million inhabitants in the city, and 2.4 million within Stockholm County (as of 2021)."
Strasbourg,France,48.5833,7.7458,290576.0,"thumb|300px|Strasbourg railway station, known for the sky dome"
Stuttgart,Germany,48.7775,9.18,2787724.0,"Stuttgart is the capital of the Bundesland of Baden-Württemberg in Germany. With a population of approximately 632,000 in the immediate city (2017) and more than 5."
Syktyvkar,Russia,61.6667,50.8167,245313.0,thumb|300px|Street scene in Syktyvkar.
Szczecin,Poland,53.4325,14.5481,403833.0,"Szczecin, (pronounced Shchetsin, German: Stettin, Latin: Stetinum) is a maritime port city and the capital of Zachodniopomorskie in Poland. The city has a population of over 400,000, with almost 780,000 living in its metro area (2019)."
Tallinn,Estonia,59.4372,24.7453,438341.0,"Tallinn is Estonia's capital and largest city. Tallinn is an important port of the Baltic Sea, with the busy passenger section of the port reaching the foothill of the picturesque medieval Old Town, which has been astonishingly well preserved and was inscribed on the UNESCO World Heritage List in 1997."
Tampere,Finland,61.4981,23.76,334112.0,thumb|350px|View to Näsinneula tower in Tampere
Tbilisi,Georgia,41.7225,44.7925,1118035.0,"Tbilisi (Georgian: , Russian: ), is the capital city of the country of Georgia, lying on the banks of the Mtkvari River. The metropolitan area covers 726 km² (280 mi²) and has a population of approximately 1."
Thessaloniki,Greece,40.6403,22.9347,824676.0,"Thessaloniki (Greek: Θεσσαλονίκη, Albanian, Turkish: Selanik, Serbian, Bulgarian, Macedonian: Солун, Solun, Judaeo-Spanish: סאלוניקו / Saloniko, Romanian: Salonic, Aromanian: Sãrunã, French: Salonique) is the capital of the administrative region of Central Macedonia and the whole historical region of Macedonia, Greece, and is, at about one million inhabitants (2011), the second largest city in the country. More importantly, it is a city with a continuous 3,000-year history, preserving relics of its Roman, Byzantine and Ottoman past and of its formerly dominant Jewish population."
Tirana,Albania,41.3289,19.8178,418495.0,"Tirana (Albanian: Tiranë) is the bustling and relatively modernised capital of Albania. It is the most important economic, financial, political and trade centre in the country."
Toulouse,France,43.6045,1.444,493465.0,"Toulouse is the chief city of Haute-Garonne in the Occitanie region of France. It stands north of the Pyrenees on the River Garonne, halfway between the Atlantic and the Mediterranean."
Trabzon,Turkey,41.005,39.7225,426882.0,"Trabzon (formerly Trebizond) is the largest city in the Eastern Karadeniz region of Turkey.   Trabzon functioned as an independent state or empire during several periods in its long history, ruling over a vast area from Sinop in the west to Georgia in the east, even including territory in Crimea."
Turku,Finland,60.45,22.2667,252468.0,"Turku (Swedish: Åbo) is Finland's oldest city and the biggest one until the mid 1800s. Believed to have been founded in the early 13th century, it is the cradle of modern Finnish culture and has extensively influenced Finnish history."
Ufa,Russia,54.7261,55.9475,1115560.0,"Ufa (Russian: Уфа́ oo-FAH, Bashkirː ӨФӨ oe-FOE), the capital of Bashkortostan, is a large, interesting, and rapidly developing city, with a population of over 1.1 million in 2018."
Uzhhorod,Ukraine,48.6239,22.295,114897.0,"Uzhhorod (Ukrainian: Ужгород, also transliterated Uzhgorod from Russian: Ужгород; Hungarian: Ungvár, German: Uschhorod) is a city in Western Ukraine, the administrative center of Zakarpatska Oblast (Transcarpthian Region).  The population of Uzhhorod is multiethnic."
